pmid,pmcid,title,category,pmc_link,download_link
39621236,PMC11971158,"Syncopes, paresis and loss of vision after COVID-19 mRNA-based vaccination and SARS-CoV-2 infection.",case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC11971158/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11971158/pdf/15010_2024_Article_2439.pdf
39988835,PMC11868965,"Severe COVID-19 Pneumonia, Opportunistic Candida krusei Infection, and Acute Respiratory Distress Syndrome with Pulmonary Arterial Hypertension Treated with Bosentan: A Case Report.",case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC11868965/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11868965/pdf/amjcaserep-26-e946400.pdf
39093769,PMC11296404,Integrative personalized medicine care for adjustment disorder of a post-COVID-19 patient: A CARE-compliant case report.,case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC11296404/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11296404/pdf/medi-103-e39121.pdf
37606967,PMC10469423,Severe pigeon paramyxovirus 1 infection in a human case with probable post-COVID-19 condition.,case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469423/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10469423/pdf/TEMI_12_2251600.pdf
36617353,PMC9826535,Post-COVID-19 syndrome increased the requirement for corticosteroids in a dialysis patient with preexisting adrenal insufficiency.,case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC9826535/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9826535/pdf/13730_2023_Article_772.pdf
36581538,PMC9767890,Post-intubation laryngeal injury after COVID-19 treatment causing dyspnea: A report of six cases.,case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC9767890/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9767890/pdf/main.pdf
37052263,PMC10102822,Successful Treatment of Post-COVID-19 ADHD-like Syndrome: A Case Report.,case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC10102822/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10102822/pdf/10.1177_10870547231168338.pdf
36822507,PMC9943558,Leveraging Serologic Testing to Identify Children at Risk For Post-Acute Sequelae of SARS-CoV-2 Infection: An Electronic Health Record-Based Cohort Study from the RECOVER Program.,case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC9943558/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9943558/pdf/main.pdf
35839020,PMC11132361,Local anesthetics as a therapeutic tool for post COVID-19 patients: A case report.,case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC11132361/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11132361/pdf/medi-101-e29358.pdf
35396239,PMC8996041,Post-COVID-19 syndrome: persistent neuroimaging changes and symptoms 9 months after initial infection.,case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996041/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996041/pdf/bcr-2021-248448.pdf
